Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
521,Agilent Technologies,,Technology,"Scientific,Photographic and  Control Equipment",yes,-1,no,yes,,no,no,no,18100,42642.5,6833,-0.2,1240,-1.1,10763,Public,42643
521,Olin,,Chemicals,Chemicals,yes,-111,no,yes,,no,no,no,7326,7034.9,6833,-27.1,460.2,-65.3,7713.2,Public,7035
523,Darling Ingredients,,"Food, Beverages & Tobacco",Food Production,yes,12,yes,no,,no,no,no,15800,7431.3,6788.1,3.9,647.7,-12.2,11061.1,Public,7431
524,Sonoco Products,,Materials,"Packaging, Containers",yes,-26,no,yes,,no,no,no,23000,5665.8,6781.3,-6.5,475,1.8,7192,Public,5666
525,CACI International,,Technology,Information Technology Services,yes,39,yes,no,,no,yes,no,23000,8442.3,6702.5,8.1,384.7,4.9,6600.8,Public,8442
526,Core & Main,,Wholesalers,Wholesalers: Diversified,yes,2,yes,no,,no,no,no,5000,11528.5,6702,0.8,371,1.4,5069,Public,11529
527,Marathon Oil,,Energy,"Mining, Crude-Oil Production",yes,-63,no,yes,,no,no,no,1681,16195.7,6697,-16.7,1554,-57,19575,Public,16196
528,Hyatt Hotels,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,54,yes,no,,no,yes,yes,51000,16425.1,6667,13.2,220,-51.6,12833,Public,16425
529,Select Medical Holdings,,Health Care,Health Care: Medical Facilities,yes,23,yes,no,,no,yes,no,46500,3870.1,6664.1,5.2,243.5,53.1,7689.6,Public,3870
530,McCormick,,"Food, Beverages & Tobacco",Food Consumer Products,yes,18,yes,no,,no,no,no,13800,20616.8,6662.2,4.9,680.6,-0.2,12862.3,Public,20617
531,Tapestry,,Apparel,Apparel,yes,-4,no,yes,,no,yes,no,15550,10890.3,6660.9,-0.4,936,9.3,7116.8,Public,10890
532,Coca-Cola Consolidated,,"Food, Beverages & Tobacco",Beverages,yes,33,yes,no,,no,yes,no,16000,7934,6653.9,7.3,408.4,-5.1,4288.9,Public,7934
533,Howmet Aerospace,,Aerospace & Defense,Aerospace & Defense,yes,66,yes,no,,no,no,no,23200,28077.1,6640,17.3,765,63.1,10428,Public,28077
534,Welltower,,Financials,Real estate,yes,49,yes,no,,no,yes,no,533,53156,6638,13.3,340.1,140.8,44012.2,Public,53156
535,CF Industries Holdings,,Chemicals,Chemicals,yes,-170,no,yes,,no,no,no,2694,15620.7,6631.5,-40.7,1525.2,-54.4,14376.2,Public,15621
536,Ametek,,Technology,"Scientific,Photographic and  Control Equipment",yes,34,yes,no,,no,no,no,21500,42288.6,6597,7.3,1313.2,13.3,15023.5,Public,42289
537,TransDigm Group,,Aerospace & Defense,Aerospace & Defense,yes,76,yes,no,,no,no,no,15500,68484.7,6585,21.3,1298,49.9,19970,Public,68485
538,Wynn Resorts,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,240,yes,no,,no,yes,no,27800,11456.6,6531.9,73.9,730,,13996.2,Public,11457
539,Southwestern Energy,,Energy,"Mining, Crude-Oil Production",yes,-264,no,yes,,no,no,no,1165,8349.1,6522,-56.5,1557,-15.8,11991,Public,8349
540,Amkor Technology,,Technology,Semiconductors and Other Electronic Components,yes,-32,no,yes,,no,no,no,28700,7927.6,6503.1,-8.3,359.8,-53,6771.1,Public,7928
541,Insperity,,Business Services,Diversified Outsourcing Services,yes,35,yes,no,,no,no,no,4400,4087.3,6485.9,9.2,171.4,-4.4,2119.7,Public,4087
542,Patterson,,Health Care,Wholesalers: Health Care,yes,-6,no,yes,,no,no,no,7600,2477.2,6471.5,-0.4,207.6,2.1,2879.1,Public,2477
543,T. Rowe Price,,Financials,Securities,yes,-6,no,yes,,no,yes,no,7906,27266.7,6460.5,-0.4,1788.7,14.8,12278.8,Public,27267
544,Ralph Lauren,,Apparel,Apparel,yes,17,yes,no,,no,yes,no,19100,12002.7,6443.6,3.6,522.7,-12.9,6789.5,Public,12003
545,KB Home,,Engineering & Construction,Homebuilders,yes,-27,no,yes,,no,no,no,2205,5361.6,6410.6,-7.1,590.2,-27.7,6648.4,Public,5362
546,Brunswick,,Transportation,Transportation Equipment,yes,-23,no,yes,,no,no,no,18104,6555.5,6401.4,-6,420.4,-37.9,6230.5,Public,6556
547,Robert Half,,Business Services,Temporary Help,yes,-47,no,yes,,no,yes,yes,15000,8340.9,6392.5,-11.7,411.1,-37.5,3010.8,Public,8341
548,PENN Entertainment,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",no,-6,no,yes,,no,no,no,23333,2775.6,6362.9,-0.6,-490,-320.6,16064.2,Public,2776
549,NetApp,,Technology,"Computers, Office Equipment",yes,6,yes,no,,no,no,no,12000,21663.4,6362,0.7,1274,36,9818,Public,21663
550,Organon,,Health Care,Pharmaceuticals,yes,18,yes,no,,no,no,no,10000,4806,6263,1.4,1023,11.6,12058,Public,4806
551,Petco Health and Wellness,,Retailing,Specialty Retailers: Other,no,20,yes,no,,no,no,no,29000,698.3,6255.3,3.6,-1280.2,-1509.9,5363.2,Public,698
552,Regal Rexnord,,Industrials,"Electronics, Electrical Equip.",no,79,yes,no,,no,no,no,32100,11977.1,6250.7,19.8,-57.4,-111.7,15431.4,Public,11977
553,Resideo Technologies,,Materials,"Building Materials, Glass",yes,-7,no,yes,,no,no,no,14000,3258,6242,-2,210,-25.8,6645,Public,3258
554,Camping World Holdings,,Retailing,"Automotive Retailing, Services",yes,-38,no,yes,,no,no,no,12459,2354.4,6226.5,-10.6,31,-77.3,4845.7,Public,2354
555,Huntsman,,Chemicals,Chemicals,yes,-122,no,yes,,no,no,no,6000,4503.1,6199,-28.9,101,-78,7248,Public,4503
556,Victoria's Secret,,Retailing,Specialty Retailers: Apparel,yes,-6,no,yes,,no,no,no,21500,1503.4,6181.8,-2.6,109.2,-68.6,4600,Public,1503
557,Levi Strauss,,Apparel,Apparel,yes,12,yes,no,,no,no,no,19100,7956.6,6179,0.2,249.6,-56.1,6053.6,Public,7957
558,Roper Technologies,,Technology,Computer Software,yes,49,yes,no,,no,no,no,16800,60022.4,6177.8,12.9,1384.2,-69.5,28167.5,Public,60022
559,Academy Sports and Outdoors,,Retailing,Specialty Retailers: Other,yes,-15,no,yes,,no,no,no,16509,5025.3,6159.3,-3.7,519.2,-17.3,4676.7,Public,5025
560,Meritage Homes,,Engineering & Construction,Homebuilders,yes,-3,no,yes,,no,no,no,1838,6346.3,6138.3,-2.4,738.7,-25.5,6353.1,Public,6346
561,American Axle & Manufacturing,,Motor Vehicles & Parts,Motor Vehicles & Parts,no,27,yes,no,,no,no,no,19000,865.1,6079.5,4.8,-33.6,-152.3,5356.3,Public,865
562,Fortive,,Industrials,"Electronics, Electrical Equip.",yes,25,yes,no,,no,no,no,18000,30225.7,6065.3,4.1,865.8,14.6,16911.8,Public,30226
563,Nasdaq,,Financials,Securities,yes,-4,no,yes,,no,no,no,8525,36295.5,6064,-2.6,1059,-5.9,32294,Public,36296
564,Broadridge Financial Solutions,,Business Services,Financial Data Services,yes,32,yes,no,,no,yes,no,14700,24126.8,6060.9,6.2,630.6,17,8233.2,Public,24127
565,Spirit AeroSystems Holdings,,Aerospace & Defense,Aerospace & Defense,no,80,yes,no,,no,no,no,20655,4192.2,6047.9,20.2,-616.2,,6950.1,Public,4192
566,Warner Music Group,,Media,Entertainment,yes,15,yes,no,,no,yes,no,5900,17100.4,6037,2,430,-22,8545,Public,17100
567,Chemours,,Chemicals,Chemicals,no,-43,no,yes,,no,no,no,6200,3907.5,6027,-11.3,-238,-141.2,8251,Public,3908
568,ADT,,Business Services,Diversified Outsourcing Services,yes,-25,no,yes,,no,no,no,14300,6117.7,6017.7,-5.9,463,249,15964.1,Public,6118
569,Edwards Lifesciences,,Health Care,Medical Products and Equipment,yes,48,yes,no,,no,no,no,19800,57520.1,6004.8,11.6,1402.4,-7.9,9363.2,Public,57520
570,First American Financial,,Financials,Insurance: Property and Casualty (Stock),yes,-89,no,yes,,no,no,yes,19210,6294.3,6003.5,-21.1,216.8,-17.6,16802.8,Public,6294
571,Hanover Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,37,yes,no,,no,no,no,4800,4892.5,5993.5,9.6,35.3,-69.6,14612.6,Public,4893
572,Silgan Holdings,,Materials,"Packaging, Containers",yes,-32,no,yes,,no,no,no,14400,5185,5988.2,-6.6,326,-4.4,7611.2,Public,5185
573,Endeavor Group Holdings,,Media,Entertainment,yes,53,yes,no,,no,no,no,10000,17817.4,5960.2,13.1,356.5,176.1,21544.8,Public,17817
574,Moody's,,Business Services,Financial Data Services,yes,36,yes,no,,no,yes,no,15151,71752.2,5916,8.2,1607,17,14622,Public,71752
575,Coterra Energy,,Energy,"Mining, Crude-Oil Production",yes,-155,no,yes,,no,no,no,1083,20946,5914,-34.7,1625,-60,20415,Public,20946
576,Gartner,,Technology,Information Technology Services,yes,30,yes,no,,no,yes,no,20237,37165,5907,7.9,882.5,9.2,7835.9,Public,37165
577,Under Armour,,Apparel,Apparel,yes,17,yes,no,,no,no,no,11078,3157.4,5903.6,3.1,386.8,73.7,4857.1,Public,3157
578,Ingles Markets,,Food & Drug Stores,Food & Drug Stores,yes,20,yes,no,,no,no,no,19540,1456.5,5892.8,3.8,210.8,-22.7,2473.8,Public,1457
579,Church & Dwight,,Household Products,Household and Personal Products,yes,39,yes,no,,no,no,no,5550,25441.7,5867.9,9.2,755.6,82.6,8569.2,Public,25442
580,Old Dominion Freight Line,,Transportation,"Trucking, Truck Leasing",yes,-22,no,yes,,no,no,no,22902,47738.1,5866.2,-6.3,1239.5,-10,5512.4,Public,47738
581,U-Haul Holding,,Transportation,"Trucking, Truck Leasing",yes,12,yes,no,,no,no,no,26501,13091.3,5864.7,2.2,923,-17.8,18124.6,Public,13091
582,Oscar Health,,Health Care,Health Care: Insurance and Managed Care,no,164,yes,no,,no,no,no,2400,3416,5862.9,47.9,-270.7,,3601.5,Public,3416
583,Arista Networks,,Technology,Network and Other Communications Equipment,yes,126,yes,no,,no,no,no,4023,90657.5,5860.2,33.8,2087.3,54.3,9946.8,Public,90658
584,Synopsys,,Technology,Computer Software,yes,58,yes,no,,no,no,no,20300,87178.7,5842.6,15,1229.9,24.9,10333.1,Public,87179
585,Harley-Davidson,,Transportation,Transportation Equipment,yes,7,yes,no,,no,no,no,6400,5973.3,5836.5,1.4,706.6,-4.7,12140.6,Public,5973
586,Frontier Communications,,Telecommunications,Telecommunications,yes,4,yes,no,,no,no,no,13297,6022.6,5751,-0.6,29,-93.4,20693,Public,6023
587,Primoris Services,,Engineering & Construction,Engineering & Construction,yes,114,yes,no,,no,no,no,14058,2282.6,5715.3,29.3,126.1,-5.2,3827.4,Public,2283
588,Carlisle,,Materials,"Building Materials, Glass",yes,-58,no,yes,,no,no,no,11100,18732,5700.1,-13.5,767.4,-16.9,6620,Public,18732
589,Simon Property Group,,Financials,Real estate,yes,35,yes,no,,no,yes,no,2750,50980.3,5658.8,6.9,2283.1,6.7,34283.5,Public,50980
590,Hanesbrands,,Apparel,Apparel,no,-39,no,yes,,no,no,no,47520,2039,5636.5,-11,-17.7,,5640.3,Public,2039
591,Anywhere Real Estate,,Financials,Real estate,no,-74,no,yes,,no,no,no,8028,686.5,5636,-18.4,-97,,5839,Public,687
592,Teledyne Technologies,,Aerospace & Defense,Aerospace & Defense,yes,19,yes,no,,no,no,no,14900,20341.7,5635.5,3.2,885.7,12.3,14527.9,Public,20342
593,CME Group,,Financials,Securities,yes,53,yes,no,,no,no,no,3565,77510.5,5578.9,11.1,3226.2,19.9,129706.1,Public,77511
594,Juniper Networks,,Technology,Network and Other Communications Equipment,yes,29,yes,no,,no,no,no,11144,12021.6,5564.5,5,310.2,-34.1,9518.5,Public,12022
595,Coty,,Household Products,Household and Personal Products,yes,27,yes,no,,no,no,no,11350,10706.2,5554.1,4.7,508.2,95.8,12661.6,Public,10706
596,Pool,,Wholesalers,Wholesalers: Diversified,yes,-30,no,yes,,no,no,no,6100,15528.9,5541.6,-10.3,523.2,-30.1,3428.1,Public,15529
597,Evergy,,Energy,Utilities: Gas and Electric,yes,-13,no,yes,,no,no,no,4658,12263.8,5508.2,-6,731.3,-2.8,30976.1,Public,12264
598,Marvell Technology,,Technology,Semiconductors and Other Electronic Components,no,-18,no,yes,,no,no,no,6544,61382.1,5507.7,-7,-933.4,,21228.5,Public,61382
599,NiSource,,Energy,Utilities: Gas and Electric,yes,-13,no,yes,,no,no,no,7388,12378.5,5505.4,-5.9,714.3,-11.2,31077.2,Public,12379
600,SS&C Technologies Holdings,,Technology,Computer Software,yes,25,yes,no,,no,no,no,26600,15907.2,5502.8,4.2,607.1,-6.6,18102.5,Public,15907
601,Schneider National,,Transportation,Transportation and Logistics,yes,-72,no,yes,,no,no,no,17300,3992.5,5498.9,-16.7,238.5,-47.9,4557.2,Public,3993
602,Autodesk,,Technology,Computer Software,yes,46,yes,no,,no,no,no,13700,55707.8,5497,9.8,906,10.1,9912,Public,55708
603,Sealed Air,,Materials,"Packaging, Containers",yes,-3,no,yes,,no,no,no,17000,5375.2,5488.9,-2.7,341.6,-30.5,7200.6,Public,5375
604,Iron Mountain,,Business Services,Diversified Outsourcing Services,yes,37,yes,no,,no,no,no,27000,23443.4,5480.3,7.4,184.2,-66.9,17473.8,Public,23443
605,Digital Realty Trust,,Financials,Real estate,yes,68,yes,no,,no,no,no,3664,44982.8,5477.1,16.7,948.8,151.2,44113.3,Public,44983
606,Keysight Technologies,,Technology,"Scientific,Photographic and  Control Equipment",yes,8,yes,no,,no,no,no,14900,27297,5464,0.8,1057,-6,8683,Public,27297
607,Globe Life,,Financials,"Insurance: Life, Health (stock)",yes,25,yes,no,,no,no,no,3636,10943.1,5447.5,4.5,970.8,31.2,28051.5,Public,10943
608,Parsons,,Aerospace & Defense,Aerospace & Defense,yes,115,yes,no,,no,no,no,18500,8778.6,5442.7,29.7,161.1,66.7,4804.1,Public,8779
609,Mattel,,Household Products,"Toys, Sporting Goods",yes,3,yes,no,,no,no,no,33000,6814.6,5441.2,0.1,214.4,-45.6,6435.8,Public,6815
610,Southwest Gas Holdings,,Energy,Utilities: Gas and Electric,yes,43,yes,no,,no,no,no,14943,5453.5,5434,9.6,150.9,,11869.9,Public,5454
611,CUNA Mutual Group (TruStage),,Financials,"Insurance: Life, Health (stock)",yes,24,yes,no,,no,no,no,4100,,5425.6,4.3,139.7,-59.3,44970.3,Private,
612,Clean Harbors,,Business Services,Waste Management,yes,25,yes,no,,no,no,no,21280,10858.8,5409.2,4.7,377.9,-8.2,6382.9,Public,10859
613,Cornerstone Building Brands,,Materials,"Building Materials, Glass",no,-75,no,yes,,no,no,no,17600,,5402.4,-16.6,-75.5,-118,6933.3,Private,3089
614,Hubbell,,Industrials,"Electronics, Electrical Equip.",yes,37,yes,no,,no,no,no,18317,22281,5372.9,8,759.8,39.2,6914,Public,22281
615,Spirit Airlines,,Transportation,Airlines,no,28,yes,no,,no,no,no,13167,529.9,5362.5,5.8,-447.5,,9417.2,Public,530
616,Lamb Weston Holdings,,"Food, Beverages & Tobacco",Food Consumer Products,yes,117,yes,no,,no,no,no,10300,15380,5350.6,30.5,1008.9,402.2,6519.8,Public,15380
617,Take-Two Interactive Software,,Media,Entertainment,no,201,yes,no,,no,no,no,11580,25330.4,5349.9,52.6,-1124.7,-369.1,15862.1,Public,25330
618,GMS,,Wholesalers,Wholesalers: Diversified,yes,60,yes,no,,no,no,no,7007,3877.4,5329.3,15,333,21.8,3267,Public,3877
619,Penn Mutual Life Insurance,,Financials,"Insurance: Life, Health (stock)",yes,70,yes,no,,no,no,no,3370,,5318.9,16.4,201,12,46740.7,Private,
620,Landstar System,,Transportation,"Trucking, Truck Leasing",yes,-131,no,yes,,no,no,no,1468,6893.5,5313.5,-28.6,264.4,-38.6,1801.8,Public,6894
621,Host Hotels & Resorts,,Financials,Real estate,yes,35,yes,no,,no,no,no,163,14550.9,5311,8.2,740,16.9,12243,Public,14551
622,Fortinet,,Technology,Computer Software,yes,81,yes,no,,no,no,no,13568,52122.6,5304.8,20.1,1147.8,33.9,7258.9,Public,52123
623,OneMain Holdings,,Financials,Diversified Financials,yes,21,yes,no,,no,no,no,9100,6118.8,5299,4.6,641,-27,24294,Public,6119
624,GameStop,,Retailing,Specialty Retailers: Other,yes,-47,no,yes,,no,no,no,15750,3829.5,5272.8,-11,6.7,,2709,Public,3830
625,Equifax,,Business Services,Financial Data Services,yes,15,yes,no,,no,no,no,14900,33234.3,5265.2,2.8,545.3,-21.7,12280,Public,33234
626,American Eagle Outfitters,,Retailing,Specialty Retailers: Apparel,yes,23,yes,no,,no,no,no,26700,5084.7,5261.8,5.4,170,35.9,3557.9,Public,5085
627,Comerica,,Financials,Commercial Banks,yes,158,yes,no,,no,no,no,7701,7285.6,5253,40.5,881,-23.5,85834,Public,7286
628,Greif,,Materials,"Packaging, Containers",yes,-79,no,yes,,no,no,no,12000,3263.7,5218.6,-17.8,359.2,-4.6,5960.8,Public,3264
629,Comfort Systems USA,,Engineering & Construction,Engineering & Construction,yes,99,yes,no,,no,no,no,15800,11337.4,5206.8,25.8,323.4,31.5,3305.6,Public,11337
630,TopBuild,,Engineering & Construction,Engineering & Construction,yes,17,yes,no,,no,no,no,14012,14021.8,5194.7,3.7,614.3,10.5,5162.9,Public,14022
631,Bread Financial Holdings,,Business Services,Financial Data Services,yes,83,yes,no,,no,no,no,7000,1840.6,5168,19.4,718,222,23141,Public,1841
632,Coherent,,Technology,Semiconductors and Other Electronic Components,no,216,yes,no,,no,no,no,26622,9202.9,5160.1,55.6,-259.5,-210.5,13711.1,Public,9203
633,Telephone & Data Systems,,Telecommunications,Telecommunications,no,-18,no,yes,,no,no,no,8800,1810.3,5160,-4.7,-500,-906.5,13921,Public,1810
634,Stifel Financial,,Financials,Securities,yes,52,yes,no,,no,no,no,9000,8035.6,5159.3,12.3,522.5,-21.1,37727.5,Public,8036
635,Urban Outfitters,,Retailing,Specialty Retailers: Apparel,yes,31,yes,no,,no,no,no,19460,4028.8,5153.2,7.5,287.7,80.1,4111.2,Public,4029
636,Terex,,Industrials,Construction and Farm Machinery,yes,66,yes,no,,no,no,no,10200,4314.8,5151.5,16.6,518,72.7,3615.5,Public,4315
637,Ryerson Holding,,Materials,Metals,yes,-83,no,yes,,no,no,no,4600,1139.6,5108.7,-19.2,145.7,-62.7,2569.6,Public,1140
638,Snap-on,,Industrials,Industrial Machinery,yes,23,yes,no,,no,no,no,13200,15651.8,5108.3,5.5,1011.1,10.9,7544.9,Public,15652
639,Flowers Foods,,"Food, Beverages & Tobacco",Food Consumer Products,yes,25,yes,no,,no,no,no,9300,5001,5090.8,5.9,123.4,-46,3427,Public,5001
640,First Horizon,,Financials,Commercial Banks,yes,181,yes,no,,no,no,no,7314,8546.1,5027,43.7,897,-0.3,81661,Public,8546
641,Paychex,,Business Services,Diversified Outsourcing Services,yes,40,yes,no,,no,no,no,16600,44186.1,5007.1,8.6,1557.3,11.8,10546.4,Public,44186
642,Hasbro,,Household Products,"Toys, Sporting Goods",no,-57,no,yes,,no,no,no,5502,7844.5,5003.3,-14.6,-1489.3,-831.8,6540.9,Public,7845
643,Sentry Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),yes,54,yes,no,,no,no,no,4507,,4994.4,11.6,373,11.8,24980.9,Private,
644,Ares Management,,Financials,Securities,yes,139,yes,no,,no,no,no,2850,41170.7,4991.8,33.4,474.3,183.1,24730.5,Public,41171
645,Lennox International,,Industrials,Industrial Machinery,yes,25,yes,no,,no,no,no,12600,17393.3,4981.9,5.6,590.1,18.7,2798.3,Public,17393
646,Peabody Energy,,Energy,"Mining, Crude-Oil Production",yes,4,yes,no,,no,no,no,5400,3088.1,4946.7,-0.7,759.6,-41.4,5962.1,Public,3088
647,Kemper,,Financials,Insurance: Property and Casualty (Stock),no,-46,no,yes,,no,no,no,8100,3983.6,4944.2,-11.3,-272.1,,12742.7,Public,3984
648,Nexstar Media Group,,Media,Entertainment,yes,-15,no,yes,,no,no,no,12586,5759.4,4933,-5.3,346,-64.4,12078,Public,5759
649,TelevisaUnivision,,Media,Entertainment,no,31,yes,no,,no,no,no,14000,,4928,6.5,-873.6,,17297.8,Private,
650,Tempur Sealy International,,Household Products,"Home Equipment, Furnishings",yes,5,yes,no,,no,no,no,12000,9864.7,4925.4,0.1,368.1,-19.2,4553.9,Public,9865
651,TriNet Group,,Business Services,Diversified Outsourcing Services,yes,7,yes,no,,no,no,no,3600,6699.7,4922,0.8,375,5.6,3693,Public,6700
652,Worthington Enterprises,,Materials,Metals,yes,-23,no,yes,,no,no,no,8200,3111.2,4916.4,-6.2,256.5,-32.4,3650.9,Public,3111
653,Maximus,,Technology,Information Technology Services,yes,26,yes,no,,no,no,no,39600,5120.5,4904.7,5.9,161.8,-20.6,3985.8,Public,5121
654,Compass,,Technology,Internet Services and Retailing,no,-82,no,yes,,no,no,no,2549,1768.6,4885,-18.8,-321.3,,1160.3,Public,1769
655,Brink's,,Business Services,Diversified Outsourcing Services,yes,38,yes,no,,no,no,no,67100,4131.7,4874.6,7.5,87.7,-48.6,6601.8,Public,4132
656,Kelly Services,,Business Services,Temporary Help,yes,-4,no,yes,,no,no,no,6200,883.5,4835.7,-2.6,36.4,,2581.6,Public,884
657,Navient,,Financials,Diversified Financials,yes,107,yes,no,,no,no,no,4500,1961.8,4828,25.8,228,-64.7,61375,Public,1962
658,Puget Energy,,Energy,Utilities: Gas and Electric,yes,62,yes,no,,no,no,no,3340,,4816.6,14.1,53.7,-87,17732.5,Private,
659,AMC Entertainment Holdings,,Media,Entertainment,no,103,yes,no,,no,no,no,18347,979.4,4812.6,23,-396.6,,9009.2,Public,979
660,Encompass Health,,Health Care,Health Care: Medical Facilities,yes,-3,no,yes,,no,yes,no,30059,8269.6,4801.2,-1.8,352,29.9,6102.4,Public,8270
661,Skyworks Solutions,,Technology,Semiconductors and Other Electronic Components,yes,-56,no,yes,,no,no,no,9701,17379.4,4772.4,-13,982.8,-22.9,8426.7,Public,17379
662,Timken,,Industrials,Industrial Machinery,yes,34,yes,no,,no,no,no,19602,6154.1,4769,6.1,394.1,-3.3,6541.7,Public,6154
663,Liberty Energy,,Energy,"Oil and Gas Equipment, Services",yes,62,yes,no,,no,no,no,5500,3441.3,4747.9,14.4,556.3,39.2,3033.6,Public,3441
664,Marriott Vacations Worldwide,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,11,yes,no,,no,yes,no,22000,3789.7,4727,1.5,254,-35,9680,Public,3790
665,Leggett & Platt,,Household Products,"Home Equipment, Furnishings",no,-27,no,yes,,no,yes,no,19300,2562.4,4725.3,-8.2,-136.8,-144.2,4634.5,Public,2562
666,Big Lots,,Retailing,Specialty Retailers: Other,no,-57,no,yes,,no,no,no,21150,126.5,4722.1,-13.6,-481.9,,3325.3,Public,127
667,Weis Markets,,Food & Drug Stores,Food & Drug Stores,yes,5,yes,no,,no,no,no,23000,1732.3,4697,,103.8,-17.1,2039.6,Public,1732
668,Pinnacle West Capital,,Energy,Utilities: Gas and Electric,yes,47,yes,no,,no,no,no,6133,9215.1,4696,8.6,501.6,3.7,24661.2,Public,9215
669,EPAM Systems,,Technology,Information Technology Services,yes,-6,no,yes,,no,no,no,53150,15969.6,4690.5,-2.8,417.1,-0.6,4352.4,Public,15970
670,Antero Resources,,Energy,"Mining, Crude-Oil Production",yes,-166,no,yes,,no,no,no,604,8803.5,4682,-34.4,242.9,-87.2,13619.4,Public,8804
671,Bloomin' Brands,,"Hotels, Restaurants & Leisure",Food Services,yes,33,yes,no,,no,no,no,87000,2497.2,4671.5,5.8,247.4,142.8,3424.1,Public,2497
672,MDU Resources Group,,Energy,Energy,yes,-157,no,yes,,no,no,no,9145,5138,4657.3,-33.2,414.7,12.8,7833.2,Public,5138
673,MDC Holdings,,Engineering & Construction,Homebuilders,yes,-78,no,yes,,no,no,no,1760,4721.3,4642.9,-18.8,401,-28.7,5631.1,Private,4721
674,Texas Roadhouse,,"Hotels, Restaurants & Leisure",Food Services,yes,66,yes,no,,no,no,no,91000,10322.9,4631.7,15.4,304.9,13,2793.4,Public,10323
675,Mercury General,,Financials,Insurance: Property and Casualty (Stock),yes,121,yes,no,,no,no,no,4100,2857.2,4629.6,27.1,96.3,,7103.4,Public,2857
676,Fortune Brands Innovations,,Materials,"Building Materials, Glass",yes,-207,no,yes,,no,no,no,11700,10643.1,4626.2,-41.6,404.5,-41.1,6565,Public,10643
677,Zions Bancorp.,,Financials,Commercial Banks,yes,168,yes,no,,no,no,no,9679,6405.8,4624,38.6,680,-25,87203,Public,6406
678,JELD-WEN Holding,,Materials,"Building Materials, Glass",yes,-39,no,yes,,no,no,no,17700,1825.2,4606.2,-10.2,62.4,36.6,2980.1,Public,1825
679,Snap,,Technology,Internet Services and Retailing,no,5,yes,no,,no,no,no,5289,18949.2,4606.1,0.1,-1322.5,,7967.8,Public,18949
680,Zebra Technologies,,Industrials,"Electronics, Electrical Equip.",yes,-89,no,yes,,no,no,no,9750,15493.3,4584,-20.7,296,-36.1,7306,Public,15493
681,Agilon Health,,Health Care,Health Care: Pharmacy and Other Services,no,260,yes,no,,no,no,no,1117,2498.2,4583.1,69.2,-262.6,,1740.9,Public,2498
682,Toro,,Industrials,Construction and Farm Machinery,yes,12,yes,no,,no,yes,no,10706,9566.8,4553.2,0.9,329.7,-25.6,3644.3,Public,9567
683,Zoom Video Communications,,Technology,Computer Software,yes,24,yes,no,,no,yes,no,7420,20105.2,4527.2,3.1,637.5,514.7,9929.8,Public,20105
684,Tetra Tech,,Engineering & Construction,Engineering & Construction,yes,135,yes,no,,no,no,no,27000,9875.8,4522.6,29.1,273.4,3.9,3820.5,Public,9876
685,Public Storage,,Financials,Real estate,yes,39,yes,no,,no,no,no,6200,50964.6,4517.7,8,2148.3,-50.6,19809.2,Public,50965
686,Illumina,,Technology,"Scientific,Photographic and  Control Equipment",no,1,yes,no,,no,no,no,11490,21820.1,4504,-1.7,-1161,,10111,Public,21820
687,Ventas,,Financials,Real estate,no,43,yes,no,,no,no,no,486,17523.2,4497.8,8.9,-41,,24725.4,Public,17523
688,FMC,,Chemicals,Chemicals,yes,-99,no,yes,,no,no,no,6600,7950.8,4486.8,-22.7,1321.5,79.4,11926.2,Public,7951
689,ArcBest,,Transportation,"Trucking, Truck Leasing",yes,-68,no,yes,,no,no,no,15000,3349.3,4483.4,-15.8,195.4,-34.5,2485.1,Public,3349
690,Domino's Pizza,,"Hotels, Restaurants & Leisure",Food Services,yes,2,yes,no,,no,no,no,8850,17305.7,4479.4,-1.3,519.1,14.8,1674.9,Public,17306
691,ASGN,,Business Services,Diversified Outsourcing Services,yes,-3,no,yes,,no,no,no,15450,4871.3,4450.6,-2.8,219.3,-18.2,3544.6,Public,4871
692,Rivian Automotive,,Motor Vehicles & Parts,Motor Vehicles & Parts,no,0,no,no,,no,no,no,16790,10703.1,4434,167.4,-5432,,16778,Public,10703
693,Elanco Animal Health,,Health Care,Pharmaceuticals,no,12,yes,no,,no,no,no,9800,8025.6,4417,0.1,-1231,,14362,Public,8026
694,Graham Holdings,,Business Services,Education,yes,61,yes,no,,no,no,no,17006,3421.6,4414.9,12.5,205.3,206,7187.7,Public,3422
695,Floor & Decor Holdings,,Retailing,Specialty Retailers: Other,yes,23,yes,no,,no,no,no,11320,13870.7,4413.9,3.5,246,-17.5,4662.6,Public,13871
