Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
152,NextEra Energy,,Energy,Utilities: Gas and Electric,yes,35,yes,no,,no,yes,no,16800,131170.7,28114,34.2,7310,76.3,177489,Public,131171
153,Danaher,,Health Care,Medical Products and Equipment,yes,-21,no,yes,,yes,yes,no,62000,184928.7,27602,-12.3,4764,-33.9,84488,Public,184929
154,Gilead Sciences,,Health Care,Pharmaceuticals,yes,-4,no,yes,,no,no,no,18000,91340.5,27116,-0.6,5665,23.4,62125,Public,91341
155,AutoNation,,Retailing,"Automotive Retailing, Services",yes,-4,no,yes,,no,yes,no,25300,6902.1,26948.9,-0.1,1021.1,-25.9,11980,Public,6902
156,Kraft Heinz,,"Food, Beverages & Tobacco",Food Consumer Products,yes,-3,no,yes,,no,no,no,36000,44857,26640,0.6,2855,20.8,90339,Public,44857
157,Avnet,,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,6,yes,no,,no,yes,no,15800,4480.2,26536.9,9.2,770.8,11.3,12477.2,Public,4480
158,Applied Materials,,Technology,Semiconductors and Other Electronic Components,yes,-3,no,yes,,no,yes,no,34000,171356,26517,2.8,6856,5.1,30729,Public,171356
159,Southwest Airlines,,Transportation,Airlines,yes,6,yes,no,,no,yes,no,74806,17416.6,26091,9.6,465,-13.7,36487,Public,17417
160,Charles Schwab,,Financials,Securities,yes,15,yes,no,,no,yes,no,33000,131974.9,25521,14.4,5067,-29.5,493178,Public,131975
161,Baker Hughes,,Energy,"Oil and Gas Equipment, Services",yes,24,yes,no,,no,no,no,58000,33529.5,25506,20.6,1943,,36945,Public,33530
162,McDonald's,,"Hotels, Restaurants & Leisure",Food Services,yes,7,yes,no,,no,yes,no,150000,203582.4,25493.7,10,8468.8,37.1,56146.8,Public,203582
163,Southern Company,,Energy,Utilities: Gas and Electric,yes,-25,no,yes,,no,yes,no,27960,78269.4,25253,-13.8,3976,12.8,139331,Public,78269
164,Mastercard,,Business Services,Financial Data Services,yes,13,yes,no,,no,yes,yes,33400,449252.6,25098,12.9,11195,12.7,42448,Public,449253
